item_index,item_name,item_price,item_likes,item_image,item_categoryid,set_id,set_url
1,shein sheinside dark grey long sleeve asymmetric zip outerwear,12.0,1564,http://img1.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=147736099,23,193637426,http://www.polyvore.com/senza_titolo_23/set?id=193637426
2,leather stretch pants,655.0,14819,http://img2.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=153224897,28,193637426,http://www.polyvore.com/senza_titolo_23/set?id=193637426
3,lulu white leather bag,595.0,4996,http://img2.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=166296218,37,193637426,http://www.polyvore.com/senza_titolo_23/set?id=193637426
4,women's alexander mcqueen scarf,196.0,6969,http://img1.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=159258378,105,193637426,http://www.polyvore.com/senza_titolo_23/set?id=193637426
5,phillip lim aviator sunglasses,190.0,14342,http://img2.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=153967488,57,193637426,http://www.polyvore.com/senza_titolo_23/set?id=193637426
6,rachel shirt,-1.0,319,http://img1.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=141173050,11,193637426,http://www.polyvore.com/senza_titolo_23/set?id=193637426
7,boot suede,-1.0,139,http://img2.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=147943449,261,193637426,http://www.polyvore.com/senza_titolo_23/set?id=193637426
1,pre-owned mesh top nude,37.0,6,http://img2.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=143066663,11,194780608,http://www.polyvore.com/rickibrazil.com_she_decided_to_start/set?id=194780608
2,grey plush wool cape,200.0,59,http://img2.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=160748250,23,194780608,http://www.polyvore.com/rickibrazil.com_she_decided_to_start/set?id=194780608
3,ted baker metal clasp cape charcoal,170.0,24,http://img1.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=158328061,23,194780608,http://www.polyvore.com/rickibrazil.com_she_decided_to_start/set?id=194780608
4,grey wide leg high-waist pleated trousers,78.0,66,http://img2.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=160342621,28,194780608,http://www.polyvore.com/rickibrazil.com_she_decided_to_start/set?id=194780608
5,carven wide-leg cropped wool trousers,174.0,117,http://img1.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=144228344,332,194780608,http://www.polyvore.com/rickibrazil.com_she_decided_to_start/set?id=194780608
6,pre-owned jimmy choo anouk nude formal shoes,414.0,7233,http://img1.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=155397299,43,194780608,http://www.polyvore.com/rickibrazil.com_she_decided_to_start/set?id=194780608
7,saint laurent women's monogram medium shoulder bag,2450.0,3437,http://img2.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=184587707,37,194780608,http://www.polyvore.com/rickibrazil.com_she_decided_to_start/set?id=194780608
8,,-1.0,107,http://img2.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=164758394,2,194780608,http://www.polyvore.com/rickibrazil.com_she_decided_to_start/set?id=194780608
1,theory white bandeau top,50.0,12692,http://img2.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=174528891,11,205702859,http://www.polyvore.com/kendall_jenner_style/set?id=205702859
2,jeans denim outerwear,105.0,1,http://img2.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=181183960,23,205702859,http://www.polyvore.com/kendall_jenner_style/set?id=205702859
3,dorothy perkins petite white jegging,39.0,5621,http://img1.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=167254818,28,205702859,http://www.polyvore.com/kendall_jenner_style/set?id=205702859
4,toms classic canvas black flat shoes,53.0,7943,http://img1.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=153039380,47,205702859,http://www.polyvore.com/kendall_jenner_style/set?id=205702859
5,dior women's dior sunglasses,380.0,7273,http://img2.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=174338018,57,205702859,http://www.polyvore.com/kendall_jenner_style/set?id=205702859
1,top en de,35.0,31,http://img1.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=164494510,11,207882134,http://www.polyvore.com/tartan_stitch_up/set?id=207882134
2,boutique wool-blend bouclé poncho,155.0,138,http://img2.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=182183020,23,207882134,http://www.polyvore.com/tartan_stitch_up/set?id=207882134
3,saint laurent low-rise skinny faux-leather trousers,515.0,16921,http://img1.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=153243406,28,207882134,http://www.polyvore.com/tartan_stitch_up/set?id=207882134
4,manolo blahnik snakeskin lace-up pump,474.0,228,http://img2.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=141677146,43,207882134,http://www.polyvore.com/tartan_stitch_up/set?id=207882134
5,miu miu moon leather shoulder bag,885.0,122,http://img2.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=177435554,37,207882134,http://www.polyvore.com/tartan_stitch_up/set?id=207882134
1,coast bow one shoulder top,98.0,24,http://img2.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=200101072,11,216641782,http://www.polyvore.com/celebrate_our_10th_polyversary/set?id=216641782
2,minnie rose fringe cashmere poncho,295.0,30,http://img2.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=190948424,23,216641782,http://www.polyvore.com/celebrate_our_10th_polyversary/set?id=216641782
3,givenchy side stripe tailored trousers,1340.0,23,http://img1.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=197150403,28,216641782,http://www.polyvore.com/celebrate_our_10th_polyversary/set?id=216641782
4,steve madden women's stilettos sandals,100.0,1690,http://img2.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=194437126,46,216641782,http://www.polyvore.com/celebrate_our_10th_polyversary/set?id=216641782
5,dolce gabbana saffiano leather chain clutch,1295.0,3863,http://img2.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=191764777,38,216641782,http://www.polyvore.com/celebrate_our_10th_polyversary/set?id=216641782
6,christian dior miss dior bouquet ladies christian dior eau de toilette,88.0,236,http://img2.polyvoreimg.com/cgi/img-thing?.out=jpg&size=m&tid=195373946,95,216641782,http://www.polyvore.com/celebrate_our_10th_polyversary/set?id=216641782
